Issue_id,Duplicated_issue,Title1,Description1,Title2,Description2,Label
209996,207508,mail window shakes one email map window smaller one line,main widow thunderbird goes shaky part emails listed holds one email window smaller one line one email looks like httpdterminationnlgtanlerrorgif make sure folder one email drag devider mail list email view make entire window smaller email list gets smaller one line main widow thunderbird goes shaky looks like httpdterminationnlgtanlerrorgif email list shouldnt smaller one line thunderbird freshly installed using default theme,sent mail box screen shakes even changing messages,sure open sent mail box frames display message message list shake vertically message list screen however shake begin scroll seems like type recursive loop may stuck thought strange open thunderbird mail program select sent mail box point stated details portion shook,1
214111,448288,drag drop drags top message collapsed thread,drag drop used move drags top message thread even thread expanded looks incorrect would expect entire thread dragged collapse thread messages drag thread different folder top message moved,group actions collapsed threads,group actions thread collapsed action like movecopydeletetagmark performed message messages collapsed message undergo similar action automatically introduced possibility movecopydelete interested nts first cpatch still fresh,1
214126,213406,cannot launch firebird thunderbird,click linklocation message paneerror message displays cannot launch firebirdset default butcamino causes error error causes message opened new windowand error causes firebirdbut restart macprobrem causes error message error launcng browser windowtypeerror compornetclassecmozilaorgappshellcompornetbrowserinstance data propaties error message end firebird launched message paneas camino,invoke mozilla firebird web surfing related stuff,probably place report case please advise using linux mozilla firebird thunderbird latest nightly builds press links emails try get new dictionaries thunderbird email composition cant invoke preferred associated web browser defined place tried look prefs file couldt find proper place,1
214354,217255,crash starting thunderbird linux,optmozillathunderbirdthunderbird thunderbirdbin gdkwarning gdkdrawablexc drawable pixmap window get start thunderbird linux macne problems starting firebird thunderbird create full thunderbird profile dies restarting results error changes profile removing profile starting fresh help either thunderbirddefaultucmbofsslt total rwrr jmd jul xulmfasl rwrr jmd jul abookmab rwrr jmd jul bookmarkshtml drwxrxrx jmd jul chrome rwrr jmd jul localstorerdf rwrr jmd jul mimetypesrdf rwrr jmd jul panelsrdf rwrr jmd jul prefsjs rwrr jmd jul searchrdf surprised couldnt find bug report gdkdrawablexc comment notng special macne red hat theres debug env var want set info let know,crash message gdkwarning gdkdrawablexc drawable pixmap window,process started display opened crashed message gdkwarning gdkdrawablexc drawable pixmap window redhat linux ibm tnkpad linux gnulinux desktop system linux athlon gnulinux usrlocalthunderbirdthunderbird error message open window thunderbird mail application,1
214358,213212,clicking scroll arrow contacts sidebar compose window selected recipiant suddenly added,unclear whether bug part composer component address book component since originates address book component listed opening contacts sidebar new message compose window clicking scroll button several times rapid succession currently selected contact added message recipiants field process repeated selected recipiant continue added attempting delete incorrectly added recipiants recipiants field becomes unresponsive open new mail message window open address book sidebar clicking contacts toolbar button click scroll arrow many times rapid succession note mysteriously added recipiants select recipiants field try delete incorrectly added recipiants note resulting unresponsiveness field recipiants incorrectly added unresponsiveness recipiants field added extra recipiants unresponsiveness recipiants field running winxp pro mhz athelon ram,double clicking scrollbar updown arrows contacts sidebar adds selected addresses recipient list,thunderbird click write start new mail click contacts display contacts sidebar doubleclicking scrollbar updown button sidebar adds current selected recipient recipient list,1
214451,214228,navigators menubar available may lead dead end,mozillas navigator menubar available thunderbird via command switch windows witn application items real menubar minus message added bonus bookmarks window debug closing main window puts active menubar open composer window menu navigator option doesnt anytng impossible open thunderbird main window press command menubar switches accordingly window main menubar main window compose menubar compose window open last least navigator menubar active window close main window navigator menubar one available impossible open thunderbirds main window open composer window menu menubar try stuff didnt closing main window impossible get back choice restart thunderbird get back business show one menubar times separate one even compose window,mozilla menubar reappears open windows thunderbird similar bug,mozilla thunderbird build mac similar bug firebird close last window mac dont windows left menubar still functional mozilla toolbar see thunderbird one items nonfunctional surprises found depending whats still left inside thunderbird story window javascript console composer fully functional password manager page info nonexisiting page even able surf using viewsource tab composer bit awkward works yes know find complete composer browser inside thunderbird thats get put htmlviewer htmlcomposer inside mailer wanted show might places still remove tbird even though end shared anyway,1
214474,214432,view menu text zoom label empty customizing toolbar,customizing toolbar main window mail pane label view text zoom menu emtpy sub menu still selectable label restart thunderbird get back happens customize toolbar selecting menu start thunderbird right click main window toolbar select customize open menu dont use view toolbars customize step click done doesnt matter made change toolbar open view menu text zoom menu character coding item text label still selectable menu item labelled usual,text text zoom menu view disappeared,text zoom item view menu disappears item still submenu functions properly however actual text text zoom missing menu item seemed shorter others closing browser restarting resolved situation prior noticing occur playing customizing toolbar however restarted thunderbird unable reproduce results customizing menu bar couldnt reproduce,1
214587,217475,incorrect display tree pane,display tree lefty pane tnderbird buggy top right corner theres clear separation pane message pane besides one lack feature lacks unread total colums plus colum chooser button found mozilla mail open trderbird look somehow features mozzila,alignment issues default theme,see attached screenshot reference several minor glitches top left thunderbirds interface including wte line extends way across top toolbar bottom bar containing text folders left toolbar menu bar looks panel containing view well list message subjects inbox slightly lower folder bar cleaning would help improve tbs polish,1
214838,217477,status bar disappears changing window configuration,changing window configuration options window either left one middle one clicking status bar disappears never show switch right configuration wch exactly preference,message pane scrollbars resize properly main window resized,resizing main tbird window default pane layout message pane properly change size reflect new window size width adjust necessary keep window filled height stays fixed window height reduced bottom message pane end extending invisibly bottom window wch makes vertical scrollbar message pane appear improperly resized makes seem attempts scroll wheelmouse working fact scrollbars sized perfectly message pane scolling working properly cant see improperly sized message pane window height increased message panes height remains fixed instead message list pane expanded keep window filled counterintuitive one would expect message list pane remain fixed height message pane expanded keep window filled tbird window maximized unmaximize easily drag window borders help observing effects bug find least line mail news message display message pane want provoke appearance scrollbar primary visual indicator bug reduce height window starting point step increase height window initial height step step results message pane retains size indicated scrollbars appearing chopped bottom window apparent inability scroll text step results message pane retains size height message list pane instead increased order keep window filled step expected height message pane reduced height window reduced step expected height message list pane stayed constant height message pane increased window height increased several confirmations found thread scroll bar message pane newsgroup nntpsecnewsnetscapecomnetscapemozillathunderbird please keep word scrollbar summary even though scrollbar problem scrollbars primary symptom indicator bug scrollbar summary help others find bug,1
214932,214748,messages dont stay threaded viewmessagesunread selected,messages dont stay threaded viewmessagesunread selected messages stay threaded trees using viewmessagesunread,message pane thread view usable view fiter selected,using imap mail account view filter set display message thread view works fine change filter recent last days thread view longer available even though threads dated current day certainly last days turn message thread view view filter set set message view filter recent last days messages longer thread view furthermore toggling message thread view button effect maintain message thread view view filters enabled thunderbird info mozilla thunderbird,1
214996,215897,thunderbird ldap address book clicking advanced results cpu load,using local ldap directory yet set default address book though open address book click advanced right side notng happens instead thunderbird takes cpu resources freezes cpu load start adress book click button advanced right side full cpu load response program expected advanced ldap settings address book,tools search addresses clicking advanced button address book crashes thunderbird jsdll,selecting tools search addresses clicking advanced button address book window causes thunderbird crash cases needs bit patience since may take restarts thunderbird get time took restarts get crash crashes right first start unlikely crash occurs normal use goto tools search addresses use advanded button address book latter takes annoying clicks use menu advanced address book search window comes restart thunderbird back step one wont crash session window showed normally see crash thunderbird crashes unhandled exception jsdll access violation show search window crashed file jssrcjsinterpc line cachedsetobjsetpropertycx obj rval last three function calls jsinterpretjscontext xda long xfb line bytes jsexecutejscontext xeaab jsobject xeaab jsscript jsstackframe unsigned int long xfb line jsexecutescriptjscontext xda jsobject xeaab jsscript long xfb line bytes information need tracking side note previous thunderbird builds release crash performing steps freezed whole application freeze occurs mozilla mail sure crash setting severity normal seem frequent problem,1
